1,Ensanche Ozama,1
2,Bo. Oxigeno,1
3,Molinuevo,1
4,Ramón Matías Mella,1
5,Bo. El Dique,1
6,Futuro Curazao,1
7,Ens. Alma Rosa,2
8,Jardines De Alma Rosa,2
9,Rep. Patria Mella,2
10,Rep. Alma Rosa,2
11,Las Palmas De Alma Rosa,3
12,Mi Hogar,3
13,Residencial Del Este,3
14,El Brisal,3
15,Urb. Mendoza I,3
16,Urb. Mendoza II,3
17,Urb. El Palmar,3
18,Carolina,3
19,Hamarap,3
20,Herradura,3
21,Alma Rosa II,4
22,Ivette,4
23,El Rosal,4
24,Urb. Italia,4
25,Exclusividad del Italia,4
26, Villa María,4
27,Urb. Capotillo,4
28,Ralma,4
29,Nuevo Sol Naciente,4
30,Savica,4
31,Res. La Primavera,4
32,Loteria,4
33,Vecinos Unidos ,4
34,La Esperanza,4
35,Urb. Mercedes,4
36,Arpe II,4
37,Res. Oasis,4
38,Bo. Anacaona,4
39,Res. Tito III,4
40,Urb. Amanda I 7 Urb. Carola,4
41,Urb. Amanda II 8 Arpe I ,4
42,Res. Sharae ,4
43,Marlin IV,4
44,Rep. Los Tres Ojos,5
45,Bo. Valle Del Este,5
46,Res. Juan Carlos,5
47,Bo. Paraiso Oriental,5
48,Res. Magdalen,5
49,Urb. Los Ángeles,5
50,Urb. Franconia,5
51,Delta Amarilis I,5
52,Delta Amarilis II,5
53,Dinna I,5
54,Res. Terrazas del Atlantico,5
55,Conjunto Hab. Los Tres Ojos,5
56,Villa Olímpica,6
57,Maquiteria,6
58,Las Américas,6
59,Res. Parque del Este ,6
60,Parque del Este III,6
61,Calero,7
62,Pueblo Nuevo,7
63,Los Molinos,7
64,La Francia,7
65,Simonico,7
66,Villa Duarte,7
67,Parque del Este (El Pensador),8
68,Parque del Este II,8
69,Los Mameyes,8
70,Puerca Brava,8
71,Bo. La Tablita,8
72,Proyecto Turistico San Souci,8
73,Comunidades Catalanas,8
74,Residencial San Souci,8
75,Los Profesionales,8
76,Bo. Los Coquitos,9
77,Urb. Doña Lucia,9
78,Res. Acuario,9
79,Brisas Del Mar,9
80,Urb. Los Antares,9
81,Bo. La Isabelita,9
82,Los Farallones,9
83,Ens. Isabelita,9
84,Res. Los Tres Ojos,9
85,Urb. Margarita,9
86,Urb. Margarita II,9
87,Ciudades de España,9
88,El Almendro,10
89,Res. Rosario Mieses,10
90,Res. Mella,10
91,Narciza,10
92,Mandinga,10
93,El Alba,10
94,Urb. Carola,10
95,Arpe I,10
96,Bo. La Campana,10
97,Res. Ines II,10
98,Los Trinitarios,10
99,Cancino I,10
100,Cancino II,10
101,Urb. Duarte,10
102,Arcoiris,10
103,Bello Campo,10
104,Isabel,10
105,Mi Sueño I-II,10
106,Res. Milenium,10
107,Las Estrellas,10
108,Res. Oriental,10
109,Viviendas Aisladas Aniversario,10
110,Res. Mendoza,10
111,Herva,10
112,Urb. María Dolores,10
113,Rep. Santa Lucía,10
114,Res. Wendy,10
115,Bo. Rivera Del Ozama,11
116,Bo. Las Lilas,11
117,Urb. Mil Flores,11
118,Urb. El Mirador Del Ozama,11
119,Urb. Cerros Del Ozama,11
120,Urb. Moisés,11
121,Urb. Genésis,11
122,Urb. María Trinidad Sánchez,11
123,Urb. Ramón Matías Mella,11
124,Urb. Jardines Del Ozama,11
125,Bo. Canta La Rana,11
126,Residencial Apolo,11
127,Cerromar,11
128,Res. Proesa,11
129,Bo.Puerto Rico,12
130,Katanga,12
131,Vietnam,12
132,San Pablo II (Los Cartones),12
133,San Antonio,12
134,Francisco del Rosario Sanchez (Las Frutas),12
135,La Barquita,12
136,Mirador del Ozama,12
137,Los Minas Viejo,13
138,San Lorenzo,13
139,Las Enfermeras,13
140,Bo. Ambar,13
141,La Milagrosa,13
142,El Invi,13
143,Ensanche Felicidad,13
144,Pidoca,13
145,Los Barrancones de Los Mina,13
146,Urb. Cancino,14
147,Altos De Cancino,14
148,Res. Amapola,14
149,Vista Hermosa,14
150,Colinas Del Este,14
151,Urb. La Rubia (Universo III),14
152,Lucerna,14
153,Urb. El Cachon,14
154,Res. El Bosque,14
155,Res. Tito IV,14
156,Prados Del Cachón,14
157,Res. Belinda,14
158,Res. Oriente,14
159,Urb. Lomisa,14
160,Urb. Cabirma Del Este I,14
161,Urb. Cabirna Del Este II,14
162,Res. Idalia I,14
163,Urb. Real Cancino,14
164,Res. Don Oscar,14
165,Res. Charlotte,14
166,Bo. El Cachon de la Rubia,14
167,Urb. Jardines del Cachon,14
168,Res. Las Terrazas,14
169,Damer III,14
170,Damer IV-V,14
171,Guillermo Antonio V,14
172,Cancino Afuera,14
173,Bo. Canaán,15
174,Res. Belleza De Los Altos,15
175,Urb. Paraiso,15
176,Cancino Adentro,15
177,El Tamarindo,15
178,Urb. El Tamarindo (Paseo De Las Rosas),15
179,Los Rosales,15
180,Urb. Flor Del Tamarindo,15
181,Res. Don Miguel,15
182,Res. Doña Lidia,15
183,Rosales del Este,15
184,villa Tropicalia,15
185,Urb. Pradera del Tamarindo,15
186,Las Acacias,15
187,Bo. John F. Kennedy,15
188,Bo. Margara,15
189,Perla Antillana,15
190,Bo. Villa Liberación,15
191,Urb. Corambar,15
192,Issafapol,16
193,Ana Virginia,16
194,Eugenio Ma. De Hostos,16
195,Los Trinitarios II,16
196,Urb. Los Molinos,16
197,Hainamosa,16
198,Hainamosa II,16
199,Urb. Ana Teresa Balaguer,16
200,Villa Hermosa Invi-Cea,16
201,Los Pinos,16
202,Res. Altavista I,16
203,Nuevo Renacer,16
204,Urb. Los Trabajadores,16
205,Villa Carmen,16
206,Rep. Villa Carmen,16
207,Invivienda,16
208,Urb. Charles de Gaulle,16
209,Invimosa,16
210,Urb. Brisa Fresca III,16
211,Invi-Villa Progreso del Este,16
212,Issfa-Hainamosa,16
213,Villa Esperanza,16
214,Batey Montserrat,17
215,Ciudad del Almirante,17
216,La Corporanea,17
217,Bo. Los Solares,17
218,El Almirante Adentro,17
219,Bo. La Toronja,17
220,Bo. Brisas Del Edén,17
221,Bo. Villa Esfuerzo,17
222,Bo. El Mango,17
223,Bo. La Caña,17
224,Bo. Las Enfermeras,17
225,Bo. Los Restauradores,17
226,80. John F. Kennedy,17
227,Urb. Buenaventura II,17
228,Urb. Los Corales,17
229,Bo. San Ramón,17
230,Residencial Islas Canarias,17
231,Mi Casa,17
232,Nueva Jerusalen,18
233,Ciudad del Este II,18
234,Vista del sol,18
235,Res. Maranatha,18
236,Orquidea I,18
237,Orquidea II,18
238,Orquidea III,18
239,Ciudad Satélite III,18
240,Ciudad Ecológica De Las Américas,18
241,La Javilla,18
242,La Filipina,18
243,El Maimón,18
244,villa Eloisa,19
245,Bo. Brisas del Este,19
246,Lotificación del Este,19
247,villa Adela,19
248,Bo. Las Flores,19
249,Res. Jardines del V Centenario,19
250,Invi-Dorex,19
251,Jardines de la Charles,20
252,Res. Ebano,20
253,Res. Reyoli,20
254,Bo. Buenaventura,20
255,Res. Nancy Nadesha (Monte Verde - Res. Clarimel),20
256,Res. Florivic,20
257,Res. Monty I,20
258,Bo. Los Coquitos,20
259,Res. Mirador del Este,20
260,Urb. Paraiso Oriental,20
261,Res. Estrella del Este,20
262,Res. Shalom,20
263,Res. La Moneda,20
264,Res. Amarilis III,20
265,Res. Amarilis IV,20
266,Ens. Los Tainos,21
267,La Grúa,21
268,Res. Vereda Tropical,21
269,Res. Paseo Oriental,21
270,Res. Paco I,21
271,Res. Paco II,21
272,Res. Fernandez Oriental,21
273,Res. Las Palmeras,21
274,Brisa Oriental VIII,21
275,Res. Amalia,21
276,Urb. El Doral,21
277,Res. Arpe IV,21
278,Res. Las Praderas,21
279,Res. Fedomar,21
280,Ciudad Kolosal,21
281,Res. Don Paco III,21
282,Villas San Isidro,21
283,Profesionales Agropecuarios,21
284,Urb. Maria Mercedes,21
285,Res. Pradera Oriental,21
286,Urb. Jeanca II,21
287,Urb. Josue,21
288,Nuevo Amanecer,21
289,Urb. Regina,21
290,Urb. Fernandez II,21
291,Urb. Los Triunfadores,21
292,Brisa Oriental I,21
293,Brisa Oriental II-V,21
294,Brisa Oriental VI-VII,21
295,Prado Oriental,21
296,Res. Pradera Tropical,21
297,Las Asturias,21
298,Res. Altagracia II,21
299,Jardines del Este,21
300,Los Educadores,21
301,Res. Los Maestros,21
302,Radiante Amanecer,21
303,Corales del Sur,22
304,Tropical del Este,22
305,Los Frailes I,22
306,Urb. Arismar,22
307,Urb. Marbella III,22
308,Urb. María del Mar,22
309,Bo. Nuevo,22
310,Los Frailes II,22
311,Bo. San Bartolo,22
312,Bo. Francisco del Rosario Sánchez,22
313,Los Molinos,22
314,Urb. Argentina,22
315,Res. La Moneda II,22
316,Urb. Marbella II,22
317,Res. Paseo Del Este II,22
318,Urb. Lucena del Mar,23
319,Urb. Jardines de Isabel,23
320,Urb. Luz Maria,23
321,Urb. Buenaventura,23
322,Agua Loca,23
323,Altos del Poli,23
324,Bo. Nuevo Amanecer,23
325,Bo. La Policia,23
326,Bo. El Paredon,23
327,Urb. Prados del Este,23
328,Urb. Las Americas,23
329,Urb. Las Americas II,23
330,Res. Viñas Del Mar,23
331,Urb. Eva Josefina,23
332,Valle de las Américas,23
333,Brisa de las Américas,23
334,Laura Mariel,23
335,Urb. Marbella I,23
336,Urb. Riviera del Caribe,23
337,Portofino,23
338,Urb. Paraiso del Mar,23
339,Bo. Cancela,23
340,Bo. La Ureña,23
